"a1","a2","a3","a4","a5","y2","y1","target_bins"
0.677791,0.767641,0.380189,0.425076,0.516083,0.183518,0.054205,3
0.678407,0.78199,0.382598,0.44069,0.509059,0.183175,0.054827,3
0.673532,0.768895,0.380077,0.42833,0.512905,0.182833,0.055449,3
0.663793,0.755677,0.385161,0.404914,0.519214,0.16234,0.056071,3
0.652418,0.758307,0.393837,0.366531,0.51939,0.136968,0.056693,3
0.645525,0.751341,0.396686,0.43485,0.52577,0.13967,0.057314,3
0.641221,0.756112,0.400655,0.45542,0.52034,0.142372,0.057936,3
0.645054,0.767885,0.396853,0.430178,0.504955,0.170252,0.058558,3
0.648372,0.752647,0.384048,0.42613,0.512131,0.205443,0.058488,3
0.644337,0.750679,0.376199,0.418306,0.516693,0.207138,0.057514,3
0.642538,0.753657,0.372263,0.420086,0.511205,0.208833,0.056539,3
0.643295,0.767519,0.369915,0.390003,0.507312,0.210528,0.055565,3
0.640834,0.780736,0.370262,0.373164,0.507535,0.212222,0.054591,3
0.634698,0.780231,0.363676,0.382599,0.499689,0.213917,0.053616,2
0.633466,0.768755,0.352396,0.396898,0.500604,0.215612,0.052642,2
0.637837,0.770636,0.350332,0.38244,0.503899,0.217307,0.051667,2
0.645032,0.790628,0.354801,0.38227,0.497573,0.219002,0.050693,2
0.648472,0.790819,0.353451,0.382315,0.500299,0.220697,0.049718,2
0.646208,0.777967,0.339356,0.381964,0.506268,0.222392,0.048744,2
0.646545,0.771193,0.332556,0.402204,0.509129,0.224087,0.04777,2
0.646881,0.779935,0.336399,0.406094,0.504204,0.225782,0.046795,2
0.64302,0.778385,0.331704,0.396495,0.506831,0.227477,0.045821,2
0.634362,0.765081,0.321851,0.392838,0.515298,0.229172,0.044846,2
0.629117,0.765673,0.319973,0.409382,0.512612,0.230867,0.043872,1
0.632714,0.78179,0.318747,0.410278,0.506409,0.232562,0.042897,1
0.641961,0.783488,0.30942,0.393734,0.506585,0.234257,0.041923,1
0.644068,0.780127,0.304934,0.407851,0.506761,0.235952,0.040949,1
0.638016,0.772447,0.305979,0.38752,0.506937,0.23135,0.040496,1
0.638397,0.775216,0.309445,0.385762,0.511381,0.218513,0.040726,1
0.64613,0.780823,0.312979,0.390933,0.507652,0.205677,0.040956,1
0.649784,0.781381,0.31343,0.384697,0.496722,0.19284,0.041186,1
0.648775,0.763496,0.312465,0.401354,0.501261,0.180004,0.041416,1
0.649963,0.748677,0.310705,0.377632,0.507734,0.167167,0.041646,1
0.653662,0.765446,0.310975,0.3854,0.503137,0.154331,0.041876,1
0.65736,0.770897,0.316797,0.397861,0.498581,0.141494,0.066889,4
0.653762,0.782286,0.320727,0.372722,0.500076,0.138216,0.09611,9
0.645082,0.776609,0.319609,0.373516,0.508426,0.147437,0.088457,8
0.640123,0.753622,0.32422,0.394562,0.512296,0.156657,0.080803,7
0.63332,0.766474,0.326964,0.397801,0.507921,0.165878,0.07315,5
0.627836,0.776365,0.328558,0.414073,0.50635,0.175099,0.065496,4
0.626266,0.779517,0.328959,0.430345,0.505048,0.18432,0.057843,3
0.624698,0.774032,0.324401,0.429525,0.506796,0.19354,0.050189,2
0.620487,0.758777,0.313717,0.409171,0.510595,0.202761,0.046552,2
0.620868,0.768285,0.300721,0.388816,0.511616,0.211982,0.048167,2
0.623592,0.783488,0.293669,0.392487,0.508725,0.215356,0.049782,2
0.619053,0.780423,0.291166,0.448378,0.511979,0.211085,0.051398,2
0.616396,0.77196,0.290977,0.439783,0.512729,0.206813,0.053013,2
0.618971,0.778176,0.287829,0.400311,0.508731,0.202542,0.054628,3
0.625065,0.777828,0.29274,0.426028,0.50635,0.198271,0.056243,3
0.63116,0.766666,0.298482,0.405447,0.508285,0.193999,0.057858,3
0.637254,0.765185,0.299562,0.384096,0.508825,0.189728,0.059474,3
0.639916,0.764889,0.295992,0.383075,0.505184,0.185457,0.061089,3
0.638655,0.777967,0.29743,0.409121,0.498587,0.181185,0.062704,4
0.635655,0.778237,0.304971,0.421266,0.498599,0.176914,0.064319,4
0.630668,0.768964,0.309191,0.38735,0.506162,0.172643,0.065934,4
0.62568,0.763165,0.312659,0.41334,0.508103,0.168371,0.06755,4
0.622,0.77438,0.311282,0.40953,0.503618,0.1641,0.069165,5
0.616834,0.779474,0.303399,0.364172,0.505822,0.159829,0.07078,5
0.617517,0.760536,0.297113,0.388586,0.513539,0.155557,0.072395,5
0.62376,0.761406,0.292338,0.391024,0.513316,0.153895,0.073722,6
0.624264,0.758585,0.287479,0.391273,0.511651,0.155643,0.074672,6
0.624769,0.770653,0.290525,0.418499,0.507969,0.157392,0.075623,6
0.625783,0.773666,0.295834,0.429407,0.506901,0.159141,0.076573,6
0.62738,0.749147,0.301621,0.442561,0.510806,0.160889,0.077523,6
0.625172,0.76165,0.307955,0.417524,0.510959,0.162638,0.078474,6
0.618616,0.774972,0.30678,0.380603,0.505541,0.164387,0.079424,7
0.614295,0.786892,0.303547,0.4224,0.498962,0.166135,0.080374,7
0.61253,0.780493,0.303427,0.442039,0.502439,0.167884,0.07893,6
0.613236,0.777445,0.300294,0.408702,0.501648,0.169632,0.074353,6
0.610804,0.772012,0.297364,0.420835,0.504345,0.171381,0.069777,5
0.607912,0.765812,0.293035,0.393779,0.508402,0.17313,0.065201,4
0.609851,0.773196,0.291573,0.402068,0.504861,0.174878,0.060624,3
0.609011,0.776244,0.285492,0.421753,0.505506,0.176627,0.056048,3
0.613819,0.756304,0.279296,0.383653,0.511234,0.178376,0.053269,2
0.62061,0.758376,0.281715,0.398338,0.510443,0.180124,0.052841,2
0.622292,0.767623,0.285109,0.419054,0.511909,0.181873,0.052413,2
0.620207,0.770653,0.284874,0.388835,0.507664,0.182194,0.051985,2
0.616917,0.781834,0.286372,0.396081,0.501495,0.180648,0.051557,2
0.61717,0.780562,0.284319,0.38972,0.50166,0.179102,0.051129,2
0.617422,0.788399,0.278047,0.397612,0.502234,0.177555,0.050701,2
0.617674,0.784141,0.284336,0.417081,0.504925,0.176009,0.050273,2
0.617926,0.778002,0.284702,0.404642,0.506069,0.174463,0.049845,2
0.618178,0.770096,0.283445,0.424656,0.506145,0.172917,0.049417,2
0.616587,0.768215,0.280993,0.445566,0.505002,0.171371,0.048989,2
0.616576,0.757244,0.276172,0.451757,0.508496,0.169825,0.048561,2
0.620779,0.74293,0.277817,0.417717,0.514254,0.168279,0.048133,2
0.624981,0.756356,0.271014,0.386329,0.513586,0.166733,0.047705,2
0.627097,0.769844,0.276472,0.370001,0.511756,0.165187,0.065019,4
0.626828,0.77337,0.287167,0.384787,0.509751,0.163641,0.088711,8
0.626559,0.761232,0.281307,0.387906,0.511873,0.162094,0.090401,8
0.62629,0.763862,0.27727,0.391024,0.511662,0.160548,0.092092,8
0.626021,0.788225,0.278826,0.409552,0.503372,0.159002,0.093782,8
0.624858,0.7861,0.281518,0.384164,0.499678,0.157456,0.095473,9
0.627851,0.767989,0.282461,0.405538,0.507394,0.15591,0.097163,9
0.633465,0.749861,0.291707,0.42435,0.517807,0.154364,0.098854,9
0.639394,0.748572,0.297777,0.392543,0.512953,0.152818,0.100544,9
0.644121,0.755015,0.296117,0.383914,0.509986,0.151272,0.102234,9
0.642146,0.7566,0.302164,0.393915,0.508385,0.149726,0.103925,9
0.64017,0.770201,0.304069,0.394936,0.500733,0.14818,0.106407,9
0.638195,0.785429,0.31249,0.397782,0.496365,0.146634,0.109925,9
0.635023,0.783732,0.326554,0.381918,0.495749,0.145087,0.113443,10
0.634407,0.777584,0.322159,0.396342,0.498089,0.143541,0.09788,9
0.635449,0.765377,0.314411,0.428251,0.503805,0.142843,0.076199,6
0.635853,0.764733,0.313476,0.388507,0.507429,0.143252,0.079151,6
0.639215,0.75761,0.306397,0.386874,0.513011,0.143662,0.082102,7
0.640381,0.750784,0.307854,0.441427,0.515521,0.144071,0.085054,7
0.642605,0.758516,0.317516,0.416469,0.520903,0.14448,0.088005,8
0.64891,0.762173,0.31965,0.385275,0.516517,0.14489,0.090957,8
0.651997,0.773614,0.323203,0.367449,0.499942,0.145299,0.093908,8
0.651409,0.782669,0.326655,0.357312,0.500205,0.145709,0.095732,9
0.65082,0.782042,0.331591,0.418272,0.504697,0.146118,0.096082,9
0.650232,0.765272,0.340641,0.40869,0.510654,0.146528,0.096432,9
0.651566,0.756635,0.341294,0.38405,0.512765,0.146937,0.096781,9
0.651801,0.766039,0.344016,0.418113,0.508883,0.147347,0.097131,9
0.648271,0.77734,0.34406,0.437107,0.501519,0.147756,0.097481,9
0.648938,0.775651,0.335899,0.409201,0.502844,0.148166,0.09783,9
0.654401,0.763775,0.343554,0.38608,0.50642,0.148575,0.09818,9
0.658571,0.761354,0.348512,0.395151,0.506245,0.148984,0.098529,9
0.66126,0.768337,0.348753,0.410119,0.503688,0.149394,0.098879,9
0.662655,0.765516,0.354692,0.420959,0.50662,0.149803,0.099229,9
0.662571,0.761598,0.357961,0.403905,0.511025,0.150213,0.1009,9
0.65727,0.762939,0.366761,0.373062,0.506393,0.150622,0.104298,9
0.65073,0.770218,0.371255,0.398723,0.501761,0.151032,0.086419,8
0.649586,0.769661,0.364378,0.395537,0.508813,0.151441,0.060363,3
0.648443,0.769556,0.355841,0.363991,0.516658,0.153893,0.06,3
0.6473,0.778664,0.348605,0.393961,0.51212,0.159017,0.059638,3
0.646157,0.781085,0.344536,0.379594,0.509833,0.16414,0.059275,3
0.648058,0.780745,0.342477,0.39209,0.507546,0.169263,0.058912,3
0.647867,0.778525,0.335254,0.416526,0.507394,0.174387,0.05855,3
0.643586,0.77344,0.329104,0.384311,0.511651,0.17951,0.058187,3
0.645278,0.762155,0.332797,0.395594,0.513644,0.184633,0.057824,3
0.647217,0.756913,0.333119,0.408713,0.510478,0.189757,0.057461,3
0.641893,0.777149,0.330006,0.412852,0.504931,0.19488,0.057099,3
0.635918,0.773527,0.327653,0.409773,0.508731,0.200003,0.056736,3
0.633295,0.765063,0.324852,0.377712,0.513433,0.205127,0.056373,3
0.630673,0.771333,0.32495,0.392759,0.508332,0.21025,0.05601,3
0.62805,0.76973,0.318001,0.391636,0.507711,0.215373,0.055648,3
0.625428,0.779691,0.30892,0.391228,0.505775,0.220497,0.055285,3
0.620106,0.775721,0.300423,0.419894,0.508109,0.22562,0.054922,3
0.61782,0.765499,0.291751,0.359364,0.512448,0.230743,0.05456,3
0.615859,0.745768,0.27806,0.382769,0.513503,0.235867,0.054197,3
0.611709,0.762747,0.270621,0.44594,0.509716,0.24099,0.053834,2
0.613768,0.781398,0.267051,0.408225,0.503102,0.246113,0.053471,2
0.615828,0.76879,0.264247,0.396671,0.505904,0.251237,0.053109,2
0.617887,0.767606,0.264941,0.394358,0.508461,0.251233,0.052746,2
0.621967,0.761964,0.261541,0.407454,0.509047,0.244525,0.052383,2
0.623818,0.764315,0.255608,0.436324,0.507617,0.237818,0.05202,2
0.620484,0.78199,0.251175,0.401558,0.503512,0.23111,0.051658,2
0.617149,0.780458,0.250079,0.402953,0.504357,0.224402,0.051295,2
0.613815,0.777967,0.245479,0.38845,0.50506,0.217694,0.050932,2
0.610481,0.756861,0.249026,0.391954,0.511393,0.210987,0.05057,2
0.607147,0.75498,0.248179,0.446031,0.508942,0.211005,0.050207,2
0.604506,0.778072,0.242552,0.406218,0.500639,0.21982,0.049844,2
0.600067,0.784829,0.236645,0.358559,0.502416,0.228635,0.049481,2
0.598476,0.769121,0.22823,0.356893,0.510243,0.23745,0.049119,2
0.603519,0.772517,0.215398,0.39743,0.508754,0.246265,0.048756,2
0.603855,0.77182,0.206564,0.425019,0.505729,0.25508,0.048393,2
0.602185,0.745107,0.199622,0.376339,0.510818,0.263895,0.04803,2
0.60696,0.753082,0.189619,0.381181,0.511146,0.264681,0.047668,2
0.612339,0.770305,0.193276,0.429577,0.506655,0.254967,0.047462,2
0.615029,0.774955,0.203323,0.401683,0.510197,0.245252,0.047462,2
0.617719,0.769156,0.197551,0.397839,0.515849,0.235538,0.047462,2
0.625508,0.7566,0.193894,0.403225,0.509868,0.225824,0.047462,2
0.631751,0.760257,0.197428,0.407114,0.503888,0.216109,0.047462,2
0.632743,0.775808,0.199778,0.424883,0.502011,0.206395,0.047462,2
0.637366,0.778681,0.199513,0.405357,0.504826,0.19668,0.047462,2
0.636746,0.78448,0.197514,0.401535,0.502961,0.186966,0.047462,2
0.630133,0.785334,0.198805,0.402284,0.499963,0.177252,0.047462,2
0.623521,0.77074,0.197332,0.384135,0.501781,0.167537,0.047462,2
0.622661,0.768825,0.198707,0.409393,0.503598,0.164382,0.047462,2
0.624716,0.760675,0.197496,0.407704,0.509821,0.169803,0.047462,2
0.622587,0.753936,0.191702,0.414904,0.511229,0.175223,0.047462,2
0.620457,0.77034,0.185705,0.400787,0.50934,0.180644,0.047462,2
0.620995,0.768773,0.174207,0.398973,0.51212,0.186065,0.047462,2
0.624582,0.783418,0.176106,0.431669,0.507288,0.191486,0.047462,2
0.628168,0.788068,0.173313,0.388212,0.505951,0.196907,0.047462,2
0.628394,0.76536,0.173073,0.390037,0.508731,0.19847,0.04834,2
0.62478,0.766317,0.180829,0.368368,0.511217,0.194989,0.050366,2
0.626814,0.770044,0.179673,0.375795,0.512542,0.191507,0.052393,2
0.635304,0.767623,0.18312,0.439431,0.508144,0.188025,0.054419,3
0.640198,0.771193,0.186539,0.400073,0.503747,0.184544,0.056445,3
0.640982,0.76569,0.192426,0.400288,0.504521,0.181062,0.058472,3
0.641766,0.768651,0.195687,0.374389,0.507593,0.177581,0.060498,3
0.644696,0.756025,0.198217,0.360861,0.509083,0.174099,0.062524,4
0.650075,0.753222,0.19825,0.432854,0.50601,0.170617,0.06455,4
0.652709,0.76623,0.199652,0.420143,0.503512,0.167136,0.066577,4
0.654401,0.765446,0.200478,0.413362,0.508883,0.163654,0.068603,5
0.656525,0.77687,0.209199,0.397362,0.506503,0.160173,0.070629,5
0.656273,0.771315,0.212288,0.409076,0.505072,0.156691,0.072656,5
0.653785,0.766143,0.213731,0.449274,0.503829,0.153209,0.074682,6
0.648741,0.764175,0.224603,0.389323,0.502949,0.149728,0.076708,6
0.646679,0.753326,0.225879,0.37592,0.510032,0.146246,0.078734,6
0.650849,0.758759,0.219478,0.389629,0.509868,0.142764,0.080761,7
0.658245,0.766944,0.220594,0.402011,0.503888,0.139283,0.082787,7
0.662556,0.767449,0.232915,0.421447,0.502586,0.135801,0.084813,7
0.663341,0.77337,0.242639,0.395299,0.50105,0.13232,0.08684,8
0.664126,0.776191,0.245714,0.404529,0.502656,0.128838,0.088866,8
0.662504,0.767101,0.249395,0.360737,0.508784,0.125356,0.090892,8
0.658133,0.761041,0.255364,0.365147,0.50764,0.121875,0.092918,8
0.65694,0.767832,0.260218,0.420971,0.504157,0.118393,0.094945,9
0.659377,0.761006,0.266122,0.400107,0.509493,0.114912,0.096971,9
0.659285,0.75566,0.266994,0.410301,0.516183,0.1137,0.098997,9
0.656301,0.769034,0.266898,0.35382,0.509411,0.115456,0.101024,9
0.653317,0.763966,0.269571,0.350554,0.508015,0.117213,0.10305,9
0.650333,0.753378,0.274556,0.430615,0.510138,0.118969,0.105076,9
0.645289,0.768964,0.276448,0.426448,0.50499,0.120726,0.104928,9
0.640403,0.784211,0.270837,0.416208,0.502187,0.122483,0.101936,9
0.634777,0.775982,0.267311,0.373391,0.50764,0.124239,0.098943,9
0.631734,0.773178,0.263599,0.37922,0.510877,0.125996,0.095951,9
0.636357,0.769748,0.265873,0.431545,0.51158,0.127752,0.092959,8
0.639058,0.772412,0.264231,0.435202,0.509411,0.129509,0.089967,8
0.639563,0.765603,0.259907,0.452709,0.510853,0.131265,0.086975,8
0.640067,0.756147,0.26164,0.448265,0.512378,0.133022,0.083982,7
0.641983,0.762033,0.264094,0.425087,0.509341,0.134779,0.08099,7
0.645514,0.759839,0.268697,0.42985,0.506843,0.136535,0.077998,6
0.649044,0.766213,0.266718,0.403973,0.503753,0.138292,0.075006,6
0.652574,0.758115,0.27677,0.364433,0.505775,0.136791,0.097107,9
0.658066,0.753187,0.29579,0.35882,0.503817,0.131029,0.125252,10
0.662779,0.75909,0.304613,0.394097,0.500647,0.125268,0.118387,10
0.66404,0.765952,0.308999,0.43993,0.501292,0.119506,0.111523,10
0.663771,0.776818,0.305843,0.418159,0.501937,0.113745,0.104658,9
0.661753,0.762434,0.305766,0.395287,0.506632,0.107984,0.097794,9
0.658245,0.763914,0.310224,0.38498,0.507335,0.110469,0.090929,8
0.653034,0.766108,0.314195,0.369729,0.509763,0.12374,0.084065,7
0.649823,0.758986,0.315042,0.381737,0.513844,0.137011,0.0772,6
0.648898,0.77741,0.313378,0.402193,0.509704,0.150282,0.070336,5
0.649896,0.7795,0.309644,0.407602,0.507265,0.163553,0.063471,4
0.650344,0.768755,0.303593,0.403168,0.506878,0.176823,0.056607,3
0.6504,0.760919,0.297393,0.419032,0.509986,0.190094,0.049742,2
0.649201,0.775512,0.292822,0.429351,0.508402,0.194638,0.050484,2
0.646079,0.783174,0.29245,0.442844,0.505629,0.187769,0.061172,3
0.6465,0.782721,0.298715,0.420052,0.501495,0.180901,0.07186,5
0.648764,0.765899,0.30484,0.404166,0.500522,0.174032,0.082548,7
0.650703,0.761685,0.300524,0.387917,0.500698,0.167163,0.093236,8
0.649862,0.772465,0.301338,0.373505,0.507335,0.160295,0.103924,9
0.649022,0.765098,0.31481,0.400708,0.510619,0.153426,0.110766,10
0.649123,0.771333,0.322826,0.447652,0.506819,0.146557,0.112577,10
0.650299,0.767275,0.327,0.454705,0.507159,0.139689,0.114388,10
0.652653,0.767536,0.333043,0.425495,0.502539,0.13282,0.116199,10
0.656351,0.771089,0.338102,0.362075,0.503196,0.125951,0.11801,10
0.66005,0.753048,0.336339,0.32504,0.512343,0.119083,0.119821,10
0.662258,0.746987,0.342477,0.382111,0.516201,0.112214,0.121633,10
0.665429,0.764088,0.35206,0.445577,0.513163,0.105346,0.123444,10
0.66825,0.764646,0.352101,0.448401,0.514289,0.109202,0.117509,10
0.667185,0.770236,0.356569,0.405289,0.509927,0.127083,0.101446,9
0.666121,0.783366,0.352735,0.379174,0.502187,0.144964,0.085382,7
0.663748,0.77957,0.340586,0.391251,0.505858,0.162845,0.069319,5
0.661765,0.762294,0.340072,0.390706,0.511651,0.180726,0.053255,2
0.661933,0.764471,0.332179,0.375739,0.51178,0.190287,0.044532,1
0.660453,0.765777,0.320487,0.397124,0.511404,0.18897,0.045407,2
0.660857,0.779622,0.320082,0.394414,0.504961,0.187653,0.046282,2
0.662844,0.783836,0.322867,0.374945,0.50241,0.186335,0.047157,2
0.661723,0.766561,0.318994,0.42206,0.507124,0.185018,0.048032,2
0.660603,0.756809,0.321039,0.399086,0.512671,0.1837,0.048907,2
0.660502,0.779465,0.319295,0.39531,0.504919,0.182383,0.049782,2
0.661567,0.783575,0.31645,0.437628,0.502645,0.181065,0.050657,2
0.662631,0.77741,0.323102,0.40293,0.50472,0.179748,0.051532,2
0.662885,0.774937,0.320268,0.394743,0.507276,0.178431,0.052407,2
0.664723,0.769539,0.311631,0.370262,0.513363,0.177113,0.053282,2
0.666489,0.761528,0.313424,0.402227,0.513761,0.175796,0.054157,3
0.664891,0.745629,0.31806,0.459627,0.509587,0.174478,0.055031,3
0.665628,0.759055,0.313495,0.373369,0.504427,0.173161,0.055906,3
0.669032,0.756914,0.311585,0.358548,0.505611,0.171843,0.056781,3
0.672437,0.760832,0.315655,0.393745,0.501601,0.170526,0.057656,3
0.675841,0.781415,0.31642,0.392895,0.499396,0.169209,0.058531,3
0.678049,0.773858,0.319786,0.398338,0.507417,0.167891,0.059406,3
0.678889,0.756948,0.328498,0.390026,0.514764,0.166574,0.060281,3
0.67973,0.750993,0.330102,0.413294,0.513621,0.165256,0.061156,3
0.677707,0.747841,0.318533,0.388665,0.515473,0.171292,0.062031,4
0.672412,0.755625,0.30716,0.355214,0.517221,0.186944,0.062906,4
0.669535,0.77135,0.307813,0.383642,0.512143,0.202595,0.063781,4
0.669423,0.782373,0.295473,0.402658,0.507488,0.223581,0.042728,1
0.669311,0.761285,0.274554,0.439238,0.511885,0.251544,0.018763,1
0.670977,0.751306,0.265,0.503759,0.516699,0.279506,0.02849,1
0.672243,0.772987,0.251369,0.473245,0.515556,0.27964,0.038216,1
0.67073,0.773718,0.257223,0.397158,0.510185,0.243383,0.047943,2
0.670865,0.760083,0.269812,0.338965,0.507534,0.206589,0.059423,3
0.672883,0.752107,0.274059,0.336884,0.505471,0.169093,0.073197,5
0.673252,0.75498,0.28754,0.389187,0.504146,0.131597,0.086971,8
0.671739,0.775146,0.299279,0.434227,0.504486,0.107877,0.100745,9
0.670226,0.783575,0.311017,0.435644,0.501718,0.102171,0.114518,10
0.668713,0.763635,0.320377,0.449319,0.503372,0.096466,0.128292,10
0.671201,0.755538,0.312957,0.434635,0.50526,0.119533,0.110634,10
0.674261,0.752926,0.305441,0.378414,0.506632,0.153917,0.078244,6
0.672748,0.764628,0.310959,0.410482,0.502011,0.153898,0.080343,7
0.675,0.771872,0.30496,0.436897,0.503735,0.153878,0.082441,7
0.676536,0.774241,0.299105,0.430519,0.504498,0.153859,0.08454,7
0.67453,0.771559,0.307379,0.393859,0.504192,0.15384,0.086638,8
0.675034,0.758725,0.31862,0.388949,0.504673,0.153821,0.088736,8
0.675539,0.753849,0.321919,0.395741,0.507323,0.153802,0.090835,8
0.676043,0.759996,0.316835,0.378845,0.513644,0.153782,0.092933,8
0.673409,0.770775,0.317994,0.424917,0.513116,0.153763,0.095032,9
0.673622,0.769365,0.327287,0.416322,0.508567,0.153744,0.09713,9
0.677872,0.772795,0.332185,0.408815,0.502375,0.153725,0.099229,9
0.678335,0.769487,0.333207,0.434181,0.506456,0.153705,0.101327,9
0.678797,0.770549,0.336292,0.416651,0.510208,0.153686,0.103425,9
0.679259,0.767101,0.341518,0.403832,0.51049,0.153667,0.104297,9
0.681781,0.761459,0.340633,0.379084,0.50784,0.153648,0.103566,9
0.684617,0.753779,0.341403,0.379458,0.5075,0.153629,0.102834,9
0.685121,0.743696,0.33837,0.391319,0.513148,0.153609,0.102103,9
0.683036,0.762364,0.345514,0.395718,0.508164,0.15359,0.101371,9
0.680817,0.781468,0.355662,0.396864,0.50318,0.153571,0.10064,9
0.681826,0.791202,0.351797,0.396183,0.502164,0.153552,0.099908,9
0.681344,0.777219,0.349502,0.426312,0.505682,0.153532,0.099177,9
0.679159,0.772865,0.356755,0.436812,0.506901,0.153513,0.098445,9
0.676973,0.77943,0.354145,0.419077,0.505494,0.153494,0.097714,9
0.678161,0.781154,0.348157,0.425076,0.506221,0.153475,0.096982,9
0.680192,0.776836,0.350581,0.389935,0.506679,0.153456,0.096251,9
0.67878,0.773718,0.35156,0.382134,0.50404,0.153436,0.09552,9
0.677368,0.767205,0.350264,0.433206,0.507476,0.153417,0.094788,9
0.675956,0.775808,0.345437,0.429124,0.505869,0.153398,0.094057,8
0.674543,0.777741,0.354167,0.40496,0.506245,0.153379,0.093325,8
0.677085,0.763287,0.355916,0.388166,0.512431,0.153359,0.092594,8
0.681322,0.779343,0.350343,0.396898,0.504779,0.15334,0.091862,8
0.68233,0.776174,0.361175,0.372019,0.501273,0.153321,0.091131,8
0.680044,0.767258,0.368691,0.377167,0.497989,0.153302,0.090399,8
0.67964,0.783087,0.371069,0.400311,0.494758,0.153283,0.089668,8
0.683163,0.774032,0.374556,0.391954,0.497485,0.153263,0.088936,8
0.683793,0.767345,0.370224,0.420914,0.501771,0.153244,0.088205,8
0.684423,0.771646,0.366048,0.434431,0.507839,0.153225,0.087473,8
0.685054,0.768007,0.373919,0.420529,0.504017,0.153206,0.086742,8
0.674289,0.782129,0.37498,0.400611,0.501284,0.153186,0.08601,8
0.650501,0.781973,0.369481,0.365318,0.510009,0.153167,0.085279,7
0.629616,0.786361,0.366873,0.381102,0.510713,0.153148,0.084547,7
0.612048,0.782739,0.362489,0.407715,0.511944,0.183991,0.074392,6
0.596193,0.782321,0.339758,0.391857,0.511592,0.255192,0.051912,2
0.582296,0.784341,0.305402,0.389561,0.511404,0.326393,0.029433,1
0.568398,0.771663,0.276526,0.38024,0.517819,0.366741,0.017317,1
0.557378,0.775303,0.247651,0.416707,0.507042,0.415486,0.018754,1
0.553646,0.765986,0.222168,0.423318,0.508309,0.477009,0.020191,1
0.554486,0.768268,0.199166,0.377547,0.517057,0.471885,0.021628,1
0.555327,0.772708,0.177964,0.391239,0.510091,0.466762,0.023065,1
