"a1","a2","a3","a4","a5","y2","y1"
0.628041,0.403141,0.596601,0.766331,0.608713,0.152569,0.052317
0.624444,0.422193,0.59363,0.742666,0.596998,0.152408,0.05278
0.621003,0.439956,0.585526,0.755321,0.592466,0.152247,0.053243
0.625396,0.427086,0.581952,0.732075,0.604163,0.150638,0.05787
0.655841,0.410682,0.543384,0.745059,0.803237,0.187768,0.049328
0.663031,0.41413,0.549211,0.771423,0.797332,0.184112,0.052374
0.666115,0.426947,0.550108,0.702077,0.793433,0.18264,0.054405
0.637444,0.418928,0.490211,0.716404,0.795995,0.187133,0.055824
0.492962,0.341356,0.644363,0.723945,0.796857,0.24259,0.036078
0.506421,0.341059,0.64164,0.745172,0.794618,0.201142,0.053911
0.494074,0.332196,0.649826,0.713286,0.798605,0.156974,0.058982
0.703176,0.606123,0.689978,0.716178,0.79341,0.290824,0.020191
0.598039,0.51078,0.586124,0.774723,0.797397,0.204799,0.041147
0.58322,0.508098,0.557102,0.727154,0.798253,0.170888,0.059535
0.580006,0.524258,0.535201,0.719092,0.789622,0.222257,0.038341
0.579608,0.527079,0.505386,0.726236,0.798264,0.226817,0.033449
0.599545,0.490927,0.505148,0.708954,0.801384,0.226298,0.038542
0.36592,0.368583,0.365619,0.775879,0.795403,0.341811,0.029672
0.382328,0.322949,0.476999,0.712436,0.804304,0.18879,0.047075
0.389754,0.321381,0.45828,0.722873,0.800575,0.178527,0.054473
0.388073,0.323367,0.461423,0.70985,0.803682,0.177128,0.055482
0.3701,0.344856,0.414003,0.754142,0.797936,0.154682,0.057262
0.376298,0.363977,0.400133,0.724966,0.793287,0.152364,0.049417
0.385062,0.347555,0.421367,0.737155,0.79314,0.150854,0.055963
0.388083,0.318334,0.454775,0.700518,0.805957,0.198819,0.060287
0.380083,0.325195,0.44902,0.745433,0.799566,0.206742,0.055581
0.392011,0.341791,0.379992,0.733697,0.798699,0.193602,0.050776
0.397399,0.334181,0.408537,0.71899,0.79375,0.173963,0.057913
0.400629,0.314172,0.418281,0.744322,0.805954,0.189625,0.049356
0.374393,0.322026,0.371853,0.748608,0.802023,0.222721,0.032241
0.386329,0.331952,0.360344,0.730647,0.799038,0.1702,0.058564
0.683358,0.850132,0.423384,0.763111,0.798018,0.453755,0.023209
0.598394,0.695267,0.261662,0.778226,0.794172,0.190332,0.054324
0.607599,0.671827,0.246102,0.707084,0.803248,0.22034,0.047745
0.608097,0.687204,0.243421,0.716926,0.798851,0.230343,0.032093
0.6013,0.688562,0.243344,0.744231,0.796377,0.186751,0.041652
0.637713,0.681039,0.293358,0.735897,0.796447,0.169462,0.059004
0.643216,0.681875,0.291472,0.711517,0.800059,0.212957,0.057759
0.689742,0.700839,0.224764,0.723718,0.797807,0.204336,0.060193
0.678397,0.68649,0.233465,0.72983,0.798194,0.19794,0.058775
0.502887,0.427269,0.375246,0.709057,0.797092,0.190183,0.058098
0.647609,0.598652,0.685127,0.075157,0.413756,0.258823,0.035388
0.653115,0.607534,0.62144,0.096815,0.406544,0.273567,0.046946
0.663222,0.59954,0.602371,0.056413,0.421642,0.227199,0.055202
0.67759,0.597956,0.572765,0.05258,0.418177,0.205885,0.060801
0.787621,0.764228,0.636398,0.093504,0.413662,0.221116,0.049412
0.784111,0.764471,0.569237,0.084523,0.416424,0.235279,0.05207
0.760461,0.749478,0.472905,0.085578,0.416351,0.220466,0.052126
0.729144,0.786692,0.423288,0.054984,0.400669,0.214283,0.053777
0.734703,0.777044,0.370295,0.05165,0.414436,0.220141,0.054193
0.727076,0.76724,0.376003,0.086269,0.409229,0.219679,0.052526
0.726813,0.770845,0.369973,0.10414,0.405559,0.219217,0.05697
0.729099,0.776383,0.339766,0.064657,0.407951,0.216674,0.042014
0.517849,0.514524,0.281961,0.056764,0.410648,0.229204,0.052445
0.514346,0.522465,0.358559,0.07967,0.408537,0.157993,0.061302
0.488866,0.514933,0.507815,0.74905,0.70302,0.211621,0.054772
0.491948,0.48943,0.47412,0.74964,0.704579,0.255142,0.056919
0.512465,0.505311,0.373447,0.736384,0.702375,0.173876,0.043163
0.511214,0.525129,0.364498,0.744276,0.692114,0.17579,0.042978
0.506507,0.514628,0.374108,0.760129,0.694741,0.176748,0.04584
0.491948,0.512869,0.330441,0.710123,0.699572,0.229391,0.053662
0.489903,0.513287,0.321918,0.725567,0.702457,0.212993,0.05715
0.490323,0.519556,0.331244,0.75125,0.701859,0.210259,0.057731
0.52983,0.521629,0.454104,0.768792,0.69564,0.219191,0.057726
0.523389,0.498433,0.44357,0.716733,0.703993,0.221842,0.044546
0.528619,0.496308,0,0.717006,0.716599,0.741352,0.01919
0.61788,0.614464,0.487404,0.698658,0.693638,0.162319,0.060107
0.847495,0.888601,0.550969,0.736339,0.708414,0.333732,0.036666
0.763204,0.85311,0.483428,0.742904,0.708531,0.292597,0.037083
0.784319,0.842905,0.422178,0.739854,0.701319,0.249411,0.040033
0.790797,0.818038,0.258442,0.719716,0.7001,0.238815,0.050675
0.790199,0.830576,0.457982,0.76776,0.704099,0.166165,0.053855
0.784266,0.8257,0.395905,0.728549,0.697362,0.208198,0.048486
0.809726,0.826484,0.402481,0.727233,0.698493,0.255182,0.056696
0.799415,0.844142,0.384833,0.698783,0.702375,0.235444,0.059762
0.783372,0.829671,0.375934,0.734808,0.700352,0.224644,0.055651
0.802906,0.841355,0.388072,0.728231,0.69888,0.1926,0.057922
0.926217,0.975063,0.514492,0.720078,0.716236,0.244125,0.05943
0.853514,0.905458,0.549796,0.724047,0.703454,0.307659,0.035625
0.856764,0.89891,0.516734,0.756364,0.697836,0.277985,0.040421
0.851269,0.898318,0.477595,0.749402,0.700405,0.250459,0.049055
0.876411,0.891596,0.47416,0.721949,0.698341,0.195645,0.05481
0.80234,0.879493,0.467218,0.736866,0.706479,0.239999,0.055275
0.856428,0.891996,0.335522,0.737416,0.704509,0.173273,0.058971
0.813768,0.898692,0.370075,0.711018,0.707091,0.219447,0.042719
0.815561,0.900129,0.365579,0.699617,0.704734,0.216562,0.048079
0.833337,0.900878,0.502385,0.739162,0.708637,0.297048,0.053959
0.766644,0.899467,0.377475,0.633526,0.708907,0.37558,0.050536
0.835772,0.913451,0.381047,0.760945,0.695972,0.247168,0.049677
0.826156,0.909707,0.317945,0.741918,0.705002,0.241175,0.054093
0.825484,0.890952,0.303872,0.742564,0.69915,0.231097,0.036422
0.810365,0.904674,0.322624,0.736418,0.692993,0.185634,0.061073
0.843068,0.904012,0.423867,0.729944,0.712866,0.192675,0.056636
0.809143,0.895462,0.463111,0.742065,0.70737,0.207654,0.055457
0.519022,0.497962,0.394079,0.704532,0.704814,0.215044,0.052293
0.616251,0.578208,0.512396,0.740988,0.710044,0.282726,0.05116
0.63502,0.603911,0.471558,0.736554,0.695984,0.198817,0.038958
0.640381,0.594595,0.461721,0.695177,0.700182,0.201951,0.059959
0.64362,0.581308,0.463156,0.765685,0.702355,0.195162,0.058824
0.635668,0.592418,0.397711,0.718077,0.699428,0.196497,0.033338
0.655029,0.611034,0.669108,0.721133,0.693638,0.185738,0.051759
0.651797,0.601334,0.613117,0.719341,0.702269,0.296616,0.058959
0.605125,0.595239,0.453708,0.71654,0.696816,0.226967,0.036033
0.602409,0.613228,0.420957,0.734218,0.699068,0.201002,0.048615
0.611263,0.612183,0.422859,0.747618,0.689851,0.197606,0.048193
0.620992,0.609867,0.417745,0.717969,0.69467,0.192513,0.047559
0.612631,0.59409,0.382859,0.742133,0.703336,0.23417,0.046292
0.523677,0.596528,0.286115,0.715974,0.705787,0.315407,0.044392
0.507157,0.607377,0.24203,0.748432,0.696535,0.290635,0.043125
0.508474,0.599314,0.205315,0.742156,0.692782,0.196962,0.056281
0.513153,0.605809,0.167595,0.729139,0.698458,0.167463,0.060915
0.500309,0.604974,0.259901,0.721008,0.699666,0.205202,0.048605
0.520699,0.597224,0.246752,0.713343,0.700997,0.208298,0.05506
0.399733,0.517702,0.165882,0.745546,0.707945,0.244247,0.049827
0.424453,0.513775,0.130747,0.823708,0.696195,0.21247,0.047335
0.425832,0.522604,0.164794,0.70832,0.699502,0.173948,0.060783
0.403442,0.50613,0.164023,0.698477,0.695644,0.18343,0.042893
0.409831,0.514576,0.157907,0.727007,0.694201,0.171771,0.054575
0.417261,0.529047,0.175103,0.745286,0.691011,0.176886,0.055515
0.409932,0.504562,0.176281,0.722811,0.698986,0.174683,0.055095
0.412274,0.513148,0.137364,0.722698,0.698247,0.171158,0.042217
0.419223,0.516108,0.166166,0.726281,0.698341,0.178068,0.060946
0.438158,0.352936,0.379017,0.718434,0.699771,0.21292,0.056139
0.442601,0.336323,0.38404,0.713048,0.702791,0.221596,0.053952
0.420388,0.360041,0.362446,0.761966,0.690472,0.232441,0.052722
0.414241,0.358909,0.335478,0.728685,0.699713,0.172494,0.048541
0.407979,0.355217,0.321186,0.7195,0.696031,0.180011,0.047311
0.403885,0.343271,0.294117,0.741578,0.70343,0.184905,0.05484
0.405598,0.355844,0.296903,0.743301,0.692266,0.182146,0.052796
0.396802,0.35769,0.287331,0.742678,0.693697,0.206949,0.049802
0.135628,0.1549,0.153102,0.717845,0.699138,0.192749,0.036623
0.133711,0.17282,0.148122,0.728878,0.690671,0.190452,0.049682
0.13636,0.154204,0.138996,0.729048,0.698106,0.189878,0.052946
0.026993,0.091477,0.066159,0.700201,0.694776,0.27687,0.035475
0.019232,0.096632,0.060859,0.755355,0.697567,0.2716,0.03854
0.00619,0.07934,0.018106,0.72526,0.701038,0.247643,0.050801
0.008254,0.098791,0.019238,0.690097,0.692642,0.20126,0.058465
0.011067,0.114046,0.029433,0.699849,0.689053,0.191983,0.059997
0.253082,0.191383,0.437187,0.252027,0.226995,0.17323,0.034257
0.244867,0.208885,0.441482,0.297361,0.223161,0.187005,0.035213
0.241741,0.204688,0.419298,0.272948,0.224134,0.196189,0.03585
0.235941,0.206133,0.418612,0.265419,0.22771,0.205641,0.036806
0.251457,0.233282,0.476054,0.24587,0.207845,0.136307,0.056961
0.25594,0.235372,0.45813,0.255565,0.202568,0.138888,0.046774
0.245338,0.21895,0.47,0.305832,0.225277,0.173908,0.037378
0.285055,0.211549,0.616807,0.256132,0.212888,0.178737,0.058854
0.274976,0.229469,0.532192,0.279774,0.217016,0.169658,0.056329
0.268829,0.209128,0.57883,0.24892,0.219695,0.200202,0.048225
0.263321,0.236678,0.566111,0.288452,0.207711,0.191006,0.050944
0.265086,0.192707,0.565621,0.251827,0.223852,0.184876,0.052756
0.255935,0.223948,0.571969,0.267993,0.212841,0.16955,0.057288
0.268616,0.198784,0.581044,0.276316,0.229387,0.204358,0.031628
0.273749,0.18541,0.580752,0.234712,0.221914,0.181372,0.046475
0.268795,0.220935,0.556249,0.229167,0.217954,0.196457,0.047122
0.23756,0.210731,0.511532,0.310855,0.220627,0.255777,0.041559
0.235728,0.209059,0.500297,0.251675,0.226374,0.278361,0.040171
0.234187,0.224105,0.491477,0.240983,0.211129,0.229123,0.045957
0.223562,0.211584,0.473326,0.28626,0.231756,0.214937,0.054057
0.228811,0.192463,0.452207,0.290694,0.22411,0.239464,0.057662
0.245581,0.214004,0.440459,0.25586,0.221859,0.196804,0.05678
0.247574,0.190652,0.436913,0.247684,0.228103,0.198989,0.045808
0.254517,0.201902,0.445765,0.300661,0.223735,0.203358,0.046692
0.24653,0.198819,0.456117,0.271122,0.223776,0.176671,0.049156
0.219426,0.207248,0.832437,0.28846,0.222176,0.190387,0.043965
0.204016,0.347677,0.662743,0.267721,0.221788,0.291579,0.025334
0.223786,0.357411,0.728278,0.275102,0.21338,0.149117,0.043491
0.209698,0.359849,0.590583,0.406241,0.584978,0.39015,0.025276
0.229054,0.348826,0.692392,0.709799,0.603964,0.167265,0.057837
0.213509,0.332526,0.668745,0.745297,0.608784,0.174992,0.050635
0.218048,0.327616,0.662297,0.72864,0.606972,0.174429,0.045975
0.233559,0.333275,0.666042,0.713445,0.593703,0.163349,0.04325
0.214114,0.345866,0.657566,0.736395,0.602287,0.164226,0.037337
0.216916,0.340554,0.62848,0.727233,0.60387,0.20269,0.033958
0.219477,0.343149,0.637139,0.730102,0.595098,0.185125,0.029735
0.216793,0.354869,0.63563,0.729082,0.597057,0.111113,0.055918
0.221836,0.327302,0.6465,0.735613,0.604175,0.137258,0.056812
0.219774,0.339231,0.654475,0.752701,0.604269,0.140163,0.056924
0.219404,0.341338,0.668231,0.759312,0.605957,0.143068,0.057036
0.218518,0.345639,0.661669,0.74422,0.593023,0.148878,0.05726
0.225011,0.338064,0.65632,0.736078,0.600246,0.160499,0.057707
0.206829,0.340189,0.662746,0.714148,0.609651,0.175024,0.054736
0.230771,0.344107,0.652067,0.735624,0.599085,0.149288,0.038279
0.223099,0.34207,0.653942,0.722006,0.60713,0.14272,0.028875
0.226308,0.327058,0.635439,0.706823,0.604996,0.141869,0.04067
0.24164,0.343428,0.74864,0.717844,0.609346,0.128622,0.051044
0.230619,0.331551,0.757807,0.715792,0.606579,0.158974,0.049486
0.429769,0.491972,0.869561,0.722652,0.615972,0.233723,0.017077
0.431058,0.527549,0.852501,0.719973,0.595626,0.230284,0.023481
0.422843,0.494358,0.79914,0.733674,0.600211,0.299461,0.026481
0.421397,0.527828,0.763921,0.735704,0.612396,0.274238,0.015104
0.439088,0.542021,0.755595,0.707189,0.591358,0.261627,0.03053
0.442714,0.501411,0.713932,0.748513,0.610871,0.314216,0.022208
0.458567,0.513862,0.68926,0.733844,0.615526,0.323859,0.018733
0.431159,0.539234,0.618305,0.723344,0.596963,0.283111,0.010913
0.46802,0.495612,0.554311,0.739548,0.602944,0.193148,0.022379
0.470408,0.532129,0.625903,0.732404,0.601009,0.153156,0.060167
0.467146,0.529813,0.637142,0.706256,0.602861,0.163041,0.045189
0.475518,0.497701,0.643474,0.705859,0.6091,0.166336,0.040197
0.462405,0.496239,0.637642,0.730125,0.614577,0.16716,0.038949
0.457676,0.51926,0.618023,0.727132,0.605993,0.189183,0.044527
0.454011,0.524067,0.527765,0.727732,0.595485,0.282254,0.018608
0.344541,0.373502,0.414916,0.756364,0.598253,0.239631,0.017607
0.341723,0.349819,0.471525,0.788432,0.603037,0.160125,0.029441
0.32931,0.356227,0.435628,0.701799,0.596478,0.181489,0.056408
0.332925,0.335574,0.43647,0.721734,0.607083,0.229659,0.048783
0.328599,0.340032,0.439807,0.725533,0.592718,0.206399,0.059784
0.324553,0.347642,0.419158,0.734933,0.602721,0.172028,0.045994
0.327579,0.344264,0.40828,0.734162,0.596212,0.181666,0.055282
0.358125,0.324394,0.443718,0.723174,0.605828,0.200002,0.039293
0.347214,0.3517,0.418092,0.728027,0.59572,0.210481,0.040034
0.35293,0.323471,0.505007,0.723321,0.610754,0.208,0.033633
0.350005,0.34752,0.503962,0.715843,0.59986,0.208192,0.033244
0.347483,0.365753,0.501204,0.73753,0.590243,0.208383,0.032855
0.345877,0.333206,0.45335,0.733107,0.611281,0.231919,0.0278
0.3498,0.329549,0.439944,0.739661,0.603553,0.236336,0.027022
0.483386,0.494567,0.727165,0.737473,0.600035,0.27348,0.031064
0.458415,0.521272,0.543551,0.718502,0.606262,0.38506,0.00534
0.463257,0.516979,0.508405,0.722777,0.599508,0.291407,0.028075
0.465706,0.52835,0.501053,0.712356,0.592894,0.278028,0.031322
0.362277,0.341599,0.615378,0.735398,0.600821,0.234004,0.045424
0.350308,0.343672,0.559062,0.752962,0.609769,0.257226,0.037814
0.354376,0.335539,0.55418,0.740792,0.598992,0.215252,0.059363
0.350465,0.325805,0.546574,0.741585,0.61535,0.218075,0.059948
0.364855,0.343706,0.499031,0.736112,0.604527,0.231183,0.044051
0.365998,0.340206,0.51473,0.771292,0.604456,0.203276,0.044461
0.350543,0.35365,0.495478,0.745569,0.603823,0.18022,0.046163
0.354959,0.323349,0.485453,0.697423,0.607447,0.171568,0.048337
0.358444,0.335974,0.485431,0.691469,0.603108,0.167242,0.054439
0.354701,0.356105,0.494735,0.748007,0.591615,0.162917,0.060541
0.348049,0.33897,0.446103,0.756387,0.600938,0.223111,0.039781
0.348091,0.342923,0.454651,0.668825,0.60129,0.186065,0.042051
0.375328,0.335626,0.503587,0.696905,0.604632,0.309326,0.017758
0.592334,0.51623,0.588451,0.731928,0.607681,0.258372,0.016449
0.605305,0.511859,0.61083,0.725226,0.597678,0.191404,0.02915
0.5905,0.529256,0.604811,0.72619,0.601806,0.203401,0.039734
0.599294,0.493017,0.665391,0.068535,0.040071,0.172588,0.054593
0.633241,0.688719,0.701004,0.047795,0.035345,0.313756,0.026113
0.609735,0.701641,0.618321,0.051537,0.028031,0.362272,0.024492
0.606485,0.682868,0.619059,0.108891,0.028617,0.353952,0.024168
0.542539,0.59557,0.512965,0.060109,0.029317,0.185633,0.056705
0.533808,0.584024,0.46408,0.051718,0.025289,0.183984,0.059305
0.528799,0.592766,0.469065,0.090782,0.022551,0.18515,0.058629
0.51972,0.609449,0.45535,0.086439,0.026038,0.184677,0.061089
0.665979,0.771542,0.43917,0.376544,0.505389,0.19071,0.068975
0.662168,0.75923,0.424384,0.436131,0.512143,0.190025,0.062863
0.65736,0.770897,0.316797,0.397861,0.498581,0.141494,0.066889
0.630668,0.768964,0.309191,0.38735,0.506162,0.172643,0.065934
0.616834,0.779474,0.303399,0.364172,0.505822,0.159829,0.07078
0.644696,0.756025,0.198217,0.360861,0.509083,0.174099,0.062524
0.649896,0.7795,0.309644,0.407602,0.507265,0.163553,0.063471
0.672883,0.752107,0.274059,0.336884,0.505471,0.169093,0.073197
0.206639,0.262869,0.081111,0.387928,0.510713,0.205906,0.073364
0.844116,0.840224,0.542961,0.390967,0.514477,0.249258,0.071969
0.856876,0.858108,0.4703,0.401881,0.503149,0.165451,0.063628
0.857291,0.859919,0.488006,0.40911,0.501964,0.169444,0.072099
0.836329,0.847834,0.433504,0.695518,0.614459,0.187922,0.066727
0.824677,0.854765,0.521284,0.730295,0.707288,0.17664,0.068542
0.502293,0.587054,0.280414,0.748778,0.70825,0.184189,0.070358
0.527928,0.610442,0.386751,0.72492,0.700111,0.160344,0.066395
0.519791,0.592522,0.356263,0.735545,0.699279,0.195766,0.071398
0.514856,0.607098,0.34898,0.779972,0.696324,0.190943,0.067469
0.525044,0.594142,0.334573,0.723832,0.706485,0.147247,0.072718
0.527446,0.585887,0.280449,0.762646,0.704826,0.199259,0.062011
0.515507,0.600411,0.279771,0.724648,0.696816,0.163435,0.065076
0.500236,0.59402,0.207682,0.758485,0.695585,0.156162,0.072251
0.489415,0.602431,0.210213,0.73533,0.695069,0.166383,0.072345
0.486173,0.606158,0.214799,0.763644,0.697098,0.139422,0.071124
0.505666,0.580576,0.289695,0.744855,0.707019,0.163267,0.068395
0.485952,0.595709,0.336642,0.730409,0.69256,0.164517,0.068313
0.490884,0.59355,0.33111,0.72585,0.700878,0.166537,0.066857
0.482848,0.597868,0.28814,0.701414,0.69539,0.183549,0.062414
0.478858,0.595187,0.274341,0.742848,0.697942,0.183244,0.063064
0.470066,0.580628,0.242259,0.748172,0.704615,0.180796,0.068265
0.467964,0.597973,0.233543,0.73635,0.701953,0.180643,0.06859
0.470195,0.620281,0.221927,0.707685,0.698552,0.180031,0.069891
0.45827,0.607812,0.176399,0.723548,0.697508,0.178185,0.067986
0.473826,0.597903,0.149581,0.750139,0.694217,0.178076,0.068624
0.463145,0.610285,0.147939,0.743891,0.69229,0.156232,0.069029
0.46282,0.584477,0.154722,0.75311,0.702633,0.156874,0.068314
0.463436,0.605391,0.14191,0.691175,0.698141,0.16014,0.067777
0.624931,0.428375,0.803166,0.725555,0.60068,0.17489,0.064749
0.626864,0.448576,0.794039,0.721082,0.597778,0.175847,0.061959
0.651151,0.442097,0.757831,0.76209,0.595814,0.181353,0.0623
0.658357,0.443125,0.772206,0.724864,0.600997,0.174297,0.072818
0.655488,0.444605,0.790246,0.731622,0.599824,0.174088,0.072967
0.665956,0.430813,0.789579,0.770595,0.602674,0.185892,0.066226
0.665183,0.419877,0.875082,0.768577,0.615057,0.202317,0.068376
0.65275,0.425832,0.595254,0.712816,0.604843,0.165496,0.067319
0.666315,0.435166,0.611693,0.768633,0.760258,0.176926,0.064047
0.669072,0.451344,0.56209,0.776491,0.793668,0.177486,0.061513
0.505736,0.353354,0.635791,0.777546,0.79511,0.162914,0.071497
0.516852,0.362549,0.667427,0.751261,0.789552,0.15209,0.067443
0.602163,0.511998,0.582105,0.764846,0.798605,0.171463,0.070948
0.597198,0.50815,0.579825,0.753268,0.801689,0.170988,0.067687
0.592365,0.522534,0.576086,0.772591,0.797514,0.17075,0.066057
0.389579,0.328208,0.424775,0.741895,0.797256,0.164278,0.07199
0.404317,0.363245,0.396159,0.736384,0.786186,0.188233,0.067662
0.598103,0.675658,0.207693,0.729297,0.796705,0.174023,0.065169
0.60046,0.685759,0.272728,0.736702,0.807458,0.18033,0.07172
0.638629,0.694361,0.285768,0.725805,0.78852,0.152263,0.065081
0.700274,0.691854,0.353312,0.731497,0.794043,0.197137,0.068559
0.690859,0.699046,0.362448,0.76039,0.789399,0.2081,0.069875
0.691166,0.675554,0.274652,0.75472,0.797326,0.173734,0.073321
0.708858,0.663451,0.305807,0.735851,0.798511,0.187586,0.068313
0.657293,0.654866,0.338244,0.702911,0.810378,0.217503,0.06329
0.640672,0.683477,0.291291,0.737484,0.7926,0.21039,0.063356
0.636889,0.677295,0.292838,0.724592,0.791322,0.209106,0.066154
0.66882,0.674091,0.272135,0.713607,0.799742,0.179862,0.071584
0.688779,0.700003,0.260806,0.709714,0.799038,0.200937,0.067279
0.689638,0.685306,0.242393,0.74016,0.800633,0.210035,0.065862
0.686421,0.668675,0.244369,0.740398,0.792307,0.220325,0.063736
0.689167,0.679002,0.194421,0.727109,0.795743,0.197467,0.068127
0.671857,0.700996,0.182967,0.732631,0.792894,0.232996,0.071501
0.682341,0.68541,0.176965,0.735783,0.792284,0.208066,0.066403
0.679562,0.679037,0.192297,0.755117,0.795474,0.174826,0.070088
0.684339,0.690129,0.229351,0.702072,0.796042,0.177668,0.069959
0.490301,0.42329,0.368532,0.716926,0.792518,0.180837,0.061746
0.485571,0.424039,0.353623,0.756931,0.795286,0.177722,0.067342
0.675185,0.589545,0.546869,0.057927,0.413029,0.173999,0.068878
0.746706,0.779935,0.440113,0.085022,0.40652,0.185843,0.068362
0.501889,0.520653,0.353172,0.058329,0.408115,0.15165,0.072278
0.497731,0.511807,0.366033,0.096299,0.411821,0.154728,0.071297
0.48937,0.499686,0.368142,0.085872,0.416535,0.159344,0.069826
0.493868,0.507854,0.359308,0.076223,0.410132,0.168387,0.072708
0.490553,0.503413,0.378476,0.758103,0.693205,0.188414,0.072227
0.628347,0.586114,0.507203,0.720849,0.706948,0.144225,0.072121
0.791637,0.822078,0.431843,0.732585,0.709903,0.20137,0.063985
0.808303,0.838935,0.40911,0.717845,0.697907,0.194678,0.065349
0.815039,0.828086,0.518591,0.76471,0.700252,0.314365,0.065561
0.818423,0.82112,0.508526,0.734377,0.705693,0.299775,0.064959
0.80726,0.833223,0.368278,0.757634,0.697836,0.196973,0.062446
0.822243,0.83681,0.409973,0.70587,0.69895,0.180462,0.07031
0.840401,0.819814,0.393557,0.727097,0.704638,0.213846,0.071938
0.840188,0.890621,0.501701,0.7377,0.702586,0.177109,0.069426
0.841455,0.907931,0.544685,0.725329,0.695139,0.234526,0.064656
0.873699,0.893216,0.535371,0.739072,0.700874,0.230945,0.07174
0.848594,0.881722,0.494275,0.758332,0.702527,0.249244,0.070321
0.830326,0.916585,0.468147,0.734559,0.696805,0.213048,0.068393
0.844133,0.884578,0.451281,0.70553,0.70438,0.203254,0.067218
